kanji,count,strokes,translation,kun_readings,on_readings,radical_basis,radical_meaning,kun_romaji,on_romaji
朝,5,12,"morning, dynasty, regime, epoch, period, (North) Korea",あさ,チョウ,月,moon,asa,chou
坊,6,7,"boy, priest's residence, priest",None,"ボウ, ボッ",土,earth,None,"bou, bo"
厚,2,9,"thick, heavy, rich, kind, cordial, brazen, shameless","あつ.い, あか",コウ,厂,cliff,"atsu.i, aka",kou
脂,3,10,"fat, grease, tallow, lard, rosin, gum, tar",あぶら,シ,肉,meat,abura,shi
粗,4,11,"coarse, rough, rugged","あら.い, あら-",ソ,米,rice,"ara.i, ara-",so
慌,3,12,"disconcerted, be confused, lose one's head","あわ.てる, あわ.ただしい",コウ,心,heart,"awa.teru, awa.tadashii",kou
以,8,5,"by means of, because, in view of, compared with",もっ.て,イ,人,man,mo.te,i
段,8,9,"grade, steps, stairs",None,"ダン, タン",殳,weapon,None,"dan, tan"
昨,8,9,"yesterday, previous",None,サク,日,sun,None,saku
斉,1,8,"adjusted, alike, equal, similar variety of","そろ.う, ひと.しい, ひと.しく, あたる, はやい","セイ, サイ",文,script,"soro.u, hito.shii, hito.shiku, ataru, hayai","sei, sai"
井,1,4,"well, well crib, town, community",い,"セイ, ショウ",二,two,i,"sei, shou"
緯,2,16,"horizontal, woof, left & right, (parallels of) latitude, prediction","よこいと, ぬき",イ,糸,silk,"yokoito, nuki",i
煎,1,13,"broil, parch, roast, boil","せん.じる, い.る, に.る",セン,火,fire,"sen.jiru, i.ru, ni.ru",sen
炒,2,8,"broil, parch, roast, fry","い.る, いた.める","ソウ, ショウ",火,fire,"i.ru, ita.meru","sou, shou"
飢,2,10,"hungry, starve",う.える,キ,食,eat,u.eru,ki
恨,2,9,"regret, bear a grudge, resentment, malice, hatred","うら.む, うら.めしい",コン,心,heart,"ura.mu, ura.meshii",kon
羨,2,13,"envious, be jealous, covet","うらや.む, あまり","セン, エン",羊,sheep,"uraya.mu, amari","sen, en"
偉,2,12,"admirable, greatness, remarkable, conceited, famous, excellent",えら.い,イ,人,man,era.i,i
宴,1,10,"banquet, feast, party",うたげ,エン,宀,roof,utage,en
王,6,4,"king, rule, magnate",None,"オウ, -ノウ",jade,jade,None,"ou, -nou"
欧,1,8,Europe,"うた.う, は.く",オウ,欠,lack,"uta.u, ha.ku",ou
米,3,6,"rice, USA, metre","こめ, よね","ベイ, マイ, メエトル",米,rice,"kome, yone","bei, mai, meetoru"
凡,2,3,"commonplace, ordinary, mediocre","およ.そ, おうよ.そ, すべ.て","ボン, ハン",几,table,"oyo.so, ouyo.so, sube.te","bon, han"
仮,7,6,"sham, temporary, interim, assumed (name), informal","かり, かり-","カ, ケ",人,man,"kari, kari-","ka, ke"
伯,5,7,"chief, count, earl, uncle, Brazil",None,ハク,人,man,None,haku
叔,5,8,"uncle, youth",None,シュク,又,right,None,shuku
魔,3,21,"witch, demon, evil spirit",None,マ,鬼,ghost,None,ma
恩,2,10,"grace, kindness, goodness, favor, mercy, blessing, benefit",None,オン,心,heart,None,on
泉,2,9,"spring, fountain",いずみ,セン,水,water,izumi,sen
蚊,2,10,mosquito,か,ブン,虫,insect,ka,bun
却,1,7,"instead, on the contrary, rather, step back, withdraw, retreat","かえ.って, しりぞ.く, しりぞ.ける",キャク,卩,kneel,"kae.tte, shirizo.ku, shirizo.keru",kyaku
係,3,9,"person in charge, connection, duty, concern oneself","かか.る, かかり, -がかり, かか.わる",ケイ,人,man,"kaka.ru, kakari, -gakari, kaka.waru",kei
留,9,10,"detain, fasten, halt, stop","と.める, と.まる, とど.める, とど.まる, るうぶる","リュウ, ル",田,field,"to.meru, to.maru, todo.meru, todo.maru, ruuburu","ryuu, ru"
垣,1,9,"hedge, fence, wall",かき,エン,土,earth,kaki,en
貸,5,12,lend,"か.す, か.し-, かし-",タイ,貝,shell,"ka.su, ka.shi-, kashi-",tai
剰,1,11,"surplus, besides","あまつさえ, あま.り, あま.る",ジョウ,刀,knife,"amatsusae, ama.ri, ama.ru",jou
塊,1,13,"clod, lump, chunk, clot, mass","かたまり, つちくれ","カイ, ケ",土,earth,"katamari, tsuchikure","kai, ke"
弧,1,9,"arc, arch, bow",None,コ,弓,bow,None,ko
躍,2,21,"leap, dance, skip",おど.る,ヤク,足,foot,odo.ru,yaku
被,3,10,"incur, cover, veil, brood over, shelter, wear, put on, be exposed (film), receiving","こうむ.る, おお.う, かぶ.る, かぶ.せる",ヒ,衣,clothes,"koumu.ru, oo.u, kabu.ru, kabu.seru",hi
釜,1,10,"kettle, cauldron, iron pot",かま,フ,金,metal,kama,fu
屑,2,10,"rubbish, junk, trash, waste, scraps","くず, いさぎよ.い",セツ,尸,corpse,"kuzu, isagiyo.i",setsu
剃,2,9,shave,"まい, そ.る, す.る",テイ,刀,knife,"mai, so.ru, su.ru",tei
刀,2,2,"sword, saber, knife","かたな, そり",トウ,刀,knife,"katana, sori",tou
謡,4,16,"song, sing, ballad, noh chanting","うた.い, うた.う",ヨウ,言,speech,"uta.i, uta.u",you
枯,1,9,"wither, die, dry up, be seasoned","か.れる, か.らす",コ,木,tree,"ka.reru, ka.rasu",ko
乾,7,11,"drought, dry, desiccate, drink up, heaven, emperor","かわ.く, かわ.かす, ほ.す, ひ.る, いぬい","カン, ケン",乛,second,"kawa.ku, kawa.kasu, ho.su, hi.ru, inui","kan, ken"
瓦,2,5,"tile, gram","かわら, ぐらむ",ガ,瓦,tile,"kawara, guramu",ga
燥,2,17,"parch, dry up",はしゃ.ぐ,ソウ,火,fire,hasha.gu,sou
缶,2,6,"tin can, container, jar radical (no. 121)",かま,カン,缶,jar,kama,kan
池,3,6,"pond, cistern, pool, reservoir",いけ,チ,水,water,ike,chi
東,5,8,east,ひがし,トウ,木,tree,higashi,tou
板,3,8,"plank, board, plate, stage",いた,"ハン, バン",木,tree,ita,"han, ban"
冠,1,9,"crown, best, peerless",かんむり,カン,冖,cover,kanmuri,kan
饉,1,20,hunger,う.える,キン,食,eat,u.eru,kin
儀,4,15,"ceremony, rule, affair, case, a matter",None,ギ,人,man,None,gi
床,4,7,"bed, counter for beds, floor, padding, tatami","とこ, ゆか",ショウ,广,house,"toko, yuka",shou
礎,1,18,"cornerstone, foundation stone",いしずえ,ソ,石,stone,ishizue,so
斬,1,11,"beheading, kill, murder",き.る,"ザン, サン, セン, ゼン",斤,axe,ki.ru,"zan, san, sen, zen"
琴,2,12,"harp, koto",こと,"キン, ゴン",jade,jade,koto,"kin, gon"
魚,3,11,fish,"うお, さかな, -ざかな",ギョ,魚,fish,"uo, sakana, -zakana",gyo
釘,1,10,"nail, tack, peg",くぎ,"テイ, チョウ",金,metal,kugi,"tei, chou"
櫛,1,17,comb,"くし, くしけず.る",シツ,木,tree,"kushi, kushikezu.ru",shitsu
砕,2,9,"smash, break, crush, familiar, popular","くだ.く, くだ.ける",サイ,石,stone,"kuda.ku, kuda.keru",sai
唇,1,10,lips,くちびる,シン,口,mouth,kuchibiru,shin
紅,4,9,"crimson, deep red","べに, くれない, あか.い","コウ, ク",糸,silk,"beni, kurenai, aka.i","kou, ku"
句,5,5,"phrase, clause, sentence, passage, paragraph, counter for haiku",None,ク,口,mouth,None,ku
夫,7,4,"husband, man","おっと, それ","フ, フウ, ブ",大,big,"otto, sore","fu, fuu, bu"
悔,3,9,"repent, regret","く.いる, く.やむ, くや.しい",カイ,心,heart,"ku.iru, ku.yamu, kuya.shii",kai
郡,2,10,"county, district",こおり,グン,town,town,koori,gun
蛍,1,11,"lightning-bug, firefly",ほたる,ケイ,虫,insect,hotaru,kei
灯,5,6,"lamp, a light, light, counter for lights","ひ, ほ-, ともしび, とも.す, あかり",トウ,火,fire,"hi, ho-, tomoshibi, tomo.su, akari",tou
毛,6,4,"fur, hair, feather, down",け,モウ,毛,fur,ke,mou
糸,2,6,thread,いと,シ,糸,silk,ito,shi
競,3,20,"emulate, compete with, bid, sell at auction, bout, contest, race","きそ.う, せ.る, くら.べる","キョウ, ケイ",立,stand,"kiso.u, se.ru, kura.beru","kyou, kei"
馬,3,10,horse,"うま, うま-, ま",バ,馬,horse,"uma, uma-, ma",ba
皮,4,5,"pelt, skin, hide, leather, skin radical (no. 107)",かわ,ヒ,皮,skin,kawa,hi
旬,4,6,"decameron, ten-day period, season (for specific products)",None,"ジュン, シュン",日,sun,None,"jun, shun"
桁,1,10,"beam, girder, spar, unit or column (accounting)",けた,コウ,木,tree,keta,kou
傑,1,13,"greatness, excellence",すぐ.れる,ケツ,人,man,sugu.reru,ketsu
謙,2,17,"self-effacing, humble oneself, condescend, be modest",へりくだ.る,ケン,言,speech,herikuda.ru,ken
虚,1,11,"void, emptiness, unpreparedness, crack, fissure, untruth","むな.しい, うつ.ろ","キョ, コ",虍,tiger,"muna.shii, utsu.ro","kyo, ko"
稿,1,15,"draft, copy, manuscript, straw","わら, したがき",コウ,禾,grain,"wara, shitagaki",kou
遜,1,13,"humble, modest","したが.う, へりくだ.る, ゆず.る",ソン,辵,walk,"shitaga.u, herikuda.ru, yuzu.ru",son
県,2,9,prefecture,か.ける,ケン,目,eye,ka.keru,ken
顕,1,18,"appear, existing","あきらか, あらわ.れる",ケン,頁,leaf,"akiraka, arawa.reru",ken
鏡,4,19,"mirror, speculum, barrel-head, round rice-cake offering",かがみ,"キョウ, ケイ",金,metal,kagami,"kyou, kei"
孝,1,7,"filial piety, child's respect",None,"コウ, キョウ",子,child,None,"kou, kyou"
舎,3,8,"cottage, inn, hut, house, mansion",やど.る,"シャ, セキ",人,man,yado.ru,"sha, seki"
功,2,5,"achievement, merits, success, honor, credit",いさお,"コウ, ク",力,power,isao,"kou, ku"
庭,3,10,"courtyard, garden, yard",にわ,テイ,广,house,niwa,tei
肯,1,8,"agreement, consent, comply with",がえんじ.る,コウ,肉,meat,gaenji.ru,kou
凍,3,10,"frozen, congeal, refrigerate","こお.る, こご.える, こご.る, い.てる, し.みる",トウ,冫,ice,"koo.ru, kogo.eru, kogo.ru, i.teru, shi.miru",tou
腰,4,13,"loins, hips, waist, low wainscoting",こし,ヨウ,肉,meat,koshi,you
五,5,4,five,"いつ, いつ.つ",ゴ,二,two,"itsu, itsu.tsu",go
沙,2,7,sand,"すな, よなげる","サ, シャ",水,water,"suna, yonageru","sa, sha"
汰,2,7,"washing, sieving, filtering, weeding out, luxury","おご.る, にご.る, よな.げる","タ, タイ",水,water,"ogo.ru, nigo.ru, yona.geru","ta, tai"
娯,1,10,"recreation, pleasure",None,ゴ,女,woman,None,go
紺,1,11,"dark blue, navy",None,コン,糸,silk,None,kon
献,3,13,"offering, counter for drinks, present, offer",たてまつ.る,"ケン, コン",犬,dog,tatematsu.ru,"ken, kon"
縫,2,16,"sew, stitch, embroider",ぬ.う,ホウ,糸,silk,nu.u,hou
遡,1,13,"go upstream, retrace the past",さかのぼ.る,"ソ, サク",辵,walk,sakanobo.ru,"so, saku"
囁,1,21,"whisper, murmur",ささや.く,ショウ,口,mouth,sasaya.ku,shou
匙,1,11,spoon,さじ,シ,匕,spoon,saji,shi
撮,2,15,"snapshot, take pictures","と.る, つま.む, -ど.り",サツ,手,hand,"to.ru, tsuma.mu, -do.ri",satsu
錆,2,16,"rust, tarnish","さび, くわ.しい","ショウ, セイ",金,metal,"sabi, kuwa.shii","shou, sei"
塩,4,13,salt,しお,エン,土,earth,shio,en
四,10,5,four,"よ, よ.つ, よっ.つ, よん",シ,囗,enclosure,"yo, yo.tsu, yo.tsu, yon",shi
季,4,8,seasons,None,キ,子,child,None,ki
茂,1,8,"overgrown, grow thick, be luxuriant",しげ.る,モ,艸,grass,shige.ru,mo
磁,3,14,"magnet, porcelain",None,ジ,石,stone,None,ji
捨,2,11,"discard, throw away, abandon, resign, reject, sacrifice",す.てる,シャ,手,hand,su.teru,sha
姿,2,9,"figure, form, shape",すがた,シ,女,woman,sugata,shi
孫,2,10,"grandchild, descendants",まご,ソン,子,child,mago,son
町,3,7,"town, village, block, street",まち,チョウ,田,field,machi,chou
筆,7,12,"writing brush, writing, painting brush, handwriting",ふで,ヒツ,竹,bamboo,fude,hitsu
童,4,12,"juvenile, child",わらべ,ドウ,立,stand,warabe,dou
絞,1,12,"strangle, constrict, wring","しぼ.る, し.める, し.まる",コウ,糸,silk,"shibo.ru, shi.meru, shi.maru",kou
縞,1,16,stripe,"しま, しろぎぬ",コウ,糸,silk,"shima, shiroginu",kou
氏,2,4,"family name, surname, clan","うじ, -うじ",シ,氏,clan,"uji, -uji",shi
蛇,1,11,"snake, serpent, hard drinker",へび,"ジャ, ダ, イ, ヤ",虫,insect,hebi,"ja, da, i, ya"
寿,1,7,"longevity, congratulations, one's natural life","ことぶき, ことぶ.く, ことほ.ぐ","ジュ, ス, シュウ",寸,thumb,"kotobuki, kotobu.ku, kotoho.gu","ju, su, shuu"
循,1,12,"sequential, follow",None,ジュン,彳,step,None,jun
環,2,17,"ring, circle, loop",わ,カン,jade,jade,wa,kan
巡,2,6,"patrol, go around, circumference","めぐ.る, めぐ.り",ジュン,巛,river,"megu.ru, megu.ri",jun
将,2,10,"leader, commander, general, admiral, or, and again, soon, from now on, just about","まさ.に, はた, まさ, ひきい.る, もって","ショウ, ソウ",寸,thumb,"masa.ni, hata, masa, hikii.ru, motte","shou, sou"
棋,1,12,"chess piece, Japanese chess, shogi",ご,キ,木,tree,go,ki
店,9,8,"store, shop","みせ, たな",テン,广,house,"mise, tana",ten
耗,1,10,decrease,None,"モウ, コウ",耒,plow,None,"mou, kou"
髪,3,14,hair of the head,かみ,ハツ,髟,long,kami,hatsu
汁,1,5,"soup, juice, broth, sap, gravy, pus","しる, -しる, つゆ",ジュウ,水,water,"shiru, -shiru, tsuyu",juu
芯,1,7,wick,None,シン,艸,grass,None,shin
森,2,12,"forest, woods",もり,シン,木,tree,mori,shin
針,4,10,"needle, pin, staple, stinger",はり,シン,金,metal,hari,shin
酢,2,12,"vinegar, sour, acid, tart",す,サク,酉,wine,su,saku
炊,2,8,"cook, boil","た.く, -だ.き",スイ,火,fire,"ta.ku, -da.ki",sui
随,2,12,"follow, though, notwithstanding, while, during, both, all, obey, submit to, comply, at the mercy of (the waves)","まにま.に, したが.う",ズイ,dam,mound,"manima.ni, shitaga.u",zui
曜,9,18,weekday,None,ヨウ,日,sun,None,you
隙,2,13,"crevice, fissure, discord, opportunity, leisure","すき, す.く, す.かす, ひま","ゲキ, キャク, ケキ",dam,mound,"suki, su.ku, su.kasu, hima","geki, kyaku, keki"
杉,1,7,"cedar, cryptomeria",すぎ,サン,木,tree,sugi,san
透,2,10,"transparent, permeate, filter, penetrate","す.く, す.かす, す.ける, とう.る, とう.す",トウ,辵,walk,"su.ku, su.kasu, su.keru, tou.ru, tou.su",tou
少,10,4,"few, little","すく.ない, すこ.し",ショウ,小,small,"suku.nai, suko.shi",shou
鈴,1,13,"small bell, buzzer",すず,"レイ, リン",金,metal,suzu,"rei, rin"
涼,2,11,"refreshing, nice and cool","すず.しい, すず.む, すず.やか, うす.い, ひや.す, まことに",リョウ,水,water,"suzu.shii, suzu.mu, suzu.yaka, usu.i, hiya.su, makotoni",ryou
撲,1,15,"slap, strike, hit, beat, tell, speak",None,ボク,手,hand,None,boku
狡,1,9,"cunning, sly, crafty, miserly, mean, stingy","ずる.い, こす.い, わるがしこ.い","コウ, キョウ",犬,dog,"zuru.i, kosu.i, warugashiko.i","kou, kyou"
寸,1,3,"measurement, tenth of a shaku, a little, small",None,スン,寸,thumb,None,sun
姓,3,8,surname,None,"セイ, ショウ",女,woman,None,"sei, shou"
掃,4,11,"sweep, brush",は.く,"ソウ, シュ",手,hand,ha.ku,"sou, shu"
瀬,1,19,"rapids, current, torrent, shallows, shoal",せ,ライ,水,water,se,rai
栓,1,10,"plug, bolt, cork, bung, stopper",None,セン,木,tree,None,sen
洗,8,9,"wash, inquire into, probe",あら.う,セン,水,water,ara.u,sen
剤,2,10,"dose, medicine, drug","かる, けず.る","ザイ, スイ, セイ",刀,knife,"karu, kezu.ru","zai, sui, sei"
祖,4,9,"ancestor, pioneer, founder",None,ソ,示,sign,None,so
般,2,10,"carrier, carry, all, general, sort, kind",None,ハン,舟,boat,None,han
倉,1,10,"godown, warehouse, storehouse, cellar, treasury",くら,ソウ,人,man,kura,sou
草,2,9,"grass, weeds, herbs, pasture, write, draft","くさ, くさ-, -ぐさ",ソウ,艸,grass,"kusa, kusa-, -gusa",sou
臣,2,7,"retainer, subject",None,"シン, ジン",臣,minster,None,"shin, jin"
卒,2,8,"graduate, soldier, private, die","そっ.する, お.える, お.わる, ついに, にわか","ソツ, シュツ",十,ten,"so.suru, o.eru, o.waru, tsuini, niwaka","sotsu, shutsu"
逸,1,11,"deviate, idleness, leisure, miss the mark, evade, elude, parry, diverge","そ.れる, そ.らす, はぐ.れる",イツ,辵,walk,"so.reru, so.rasu, hagu.reru",itsu
第,3,11,"No., residence",None,"ダイ, テイ",竹,bamboo,None,"dai, tei"
太,4,4,"plump, thick, big around","ふと.い, ふと.る","タイ, タ",大,big,"futo.i, futo.ru","tai, ta"
鼓,1,13,"drum, beat, rouse, muster",つづみ,コ,鼓,drum,tsuzumi,ko
楕,1,13,ellipse,None,"ダ, タ",木,tree,None,"da, ta"
滝,1,13,"waterfall, rapids, cascade",たき,"ロウ, ソウ",水,water,taki,"rou, sou"
竹,1,6,bamboo,たけ,チク,竹,bamboo,take,chiku
但,1,7,"however, but",ただ.し,タン,人,man,tada.shi,tan
頼,5,16,"trust, request","たの.む, たの.もしい, たよ.る",ライ,頁,leaf,"tano.mu, tano.moshii, tayo.ru",rai
誓,1,14,"vow, swear, pledge",ちか.う,セイ,言,speech,chika.u,sei
彫,2,11,"carve, engrave, chisel","ほ.る, -ぼ.り",チョウ,彡,bristle,"ho.ru, -bo.ri",chou
節,5,13,"node, season, period, occasion, verse, clause, stanza, honor, joint, knuckle, knob, knot, tune, melody","ふし, -ぶし, のっと","セツ, セチ",竹,bamboo,"fushi, -bushi, notto","setsu, sechi"
頂,2,11,"place on the head, receive, top of head, top, summit, peak","いただ.く, いただき",チョウ,頁,leaf,"itada.ku, itadaki",chou
男,6,7,male,"おとこ, お","ダン, ナン",田,field,"otoko, o","dan, nan"
径,2,8,"diameter, path, method","みち, こみち, さしわたし, ただちに",ケイ,彳,step,"michi, komichi, sashiwatashi, tadachini",kei
繋,5,17,"tie, fasten, chain, tether, connect","つな.ぐ, かか.る, か.ける",ケイ,糸,silk,"tsuna.gu, kaka.ru, ka.keru",kei
粒,1,11,"grains, drop, counter for tiny particles",つぶ,リュウ,米,rice,tsubu,ryuu
潰,2,15,"crush, smash, break, dissipate","つぶ.す, つぶ.れる, つい.える","カイ, エ",水,water,"tsubu.su, tsubu.reru, tsui.eru","kai, e"
躓,1,22,stumble,つまず.く,チ,足,foot,tsumazu.ku,chi
爪,1,4,"claw, nail, talon","つめ, つま-",ソウ,爪,claw,"tsume, tsuma-",sou
艶,1,19,"glossy, luster, glaze, polish, charm, colorful, captivating","つや, なま.めかしい, あで.やか, つや.めく, なま.めく",エン,色,colour,"tsuya, nama.mekashii, ade.yaka, tsuya.meku, nama.meku",en
低,4,7,"lower, short, humble","ひく.い, ひく.める, ひく.まる",テイ,人,man,"hiku.i, hiku.meru, hiku.maru",tei
価,6,8,"value, price",あたい,"カ, ケ",人,man,atai,"ka, ke"
凸,1,5,"convex, beetle brow, uneven",でこ,トツ,凵,container,deko,totsu
凹,2,5,"concave, hollow, sunken","くぼ.む, へこ.む, ぼこ",オウ,凵,container,"kubo.mu, heko.mu, boko",ou
弟,4,7,"younger brother, faithful service to elders",おとうと,"テイ, ダイ, デ",弓,bow,otouto,"tei, dai, de"
砲,1,10,"cannon, gun",None,ホウ,石,stone,None,hou
拭,2,9,"wipe, mop, swab","ぬぐ.う, ふ.く","ショク, シキ",手,hand,"nugu.u, fu.ku","shoku, shiki"
迎,5,7,"welcome, meet, greet",むか.える,ゲイ,辵,walk,muka.eru,gei
柱,1,9,"pillar, post, cylinder, support",はしら,チュウ,木,tree,hashira,chuu
銅,2,14,copper,あかがね,ドウ,金,metal,akagane,dou
峠,1,9,"mountain peak, mountain pass, climax, crest, (kokuji)",とうげ,None,山,mountain,touge,None
盗,3,11,"steal, rob, pilfer","ぬす.む, ぬす.み",トウ,皿,dish,"nusu.mu, nusu.mi",tou
尖,1,6,"be pointed, sharp, taper, displeased, angry, edgy","とが.る, さき, するど.い",セン,小,small,"toga.ru, saki, surudo.i",sen
都,7,11,"metropolis, capital, all, everything",みやこ,"ト, ツ",town,town,miyako,"to, tsu"
棚,3,12,"shelf, ledge, rack, mount, mantle, trellis","たな, -だな",ホウ,木,tree,"tana, -dana",hou
怒,3,9,"angry, be offended","いか.る, おこ.る","ド, ヌ",心,heart,"ika.ru, oko.ru","do, nu"
丼,1,5,"bowl, bowl of food",どんぶり,"トン, タン, ショウ, セイ",丶,dot,donburi,"ton, tan, shou, sei"
慰,1,15,"consolation, amusement, seduce, cheer, make sport of, comfort, console","なぐさ.める, なぐさ.む",イ,心,heart,"nagusa.meru, nagusa.mu",i
殴,2,8,"assault, hit, beat, thrash",なぐ.る,オウ,殳,weapon,nagu.ru,ou
謎,3,16,"riddle, puzzle, enigma, hint, tip",なぞ,"メイ, ベイ",言,speech,nazo,"mei, bei"
撫,1,15,"stroke, pat, smooth down",な.でる,"ブ, フ",手,hand,na.deru,"bu, fu"
南,4,9,south,みなみ,"ナン, ナ",十,ten,minami,"nan, na"
匂,2,4,"fragrant, stink, glow, insinuate, (kokuji)","にお.う, にお.い, にお.わせる",None,勹,wrap,"nio.u, nio.i, nio.waseru",None
虹,1,9,rainbow,にじ,コウ,虫,insect,niji,kou
房,4,8,"tassel, tuft, fringe, bunch, lock (hair), segment (orange), house, room",ふさ,ボウ,戶,door,fusa,bou
睨,1,13,"glaring at, authority, power, scowl at","にら.む, にら.み",ゲイ,目,eye,"nira.mu, nira.mi",gei
煮,3,12,"boil, cook","に.る, -に, に.える, に.やす",シャ,火,fire,"ni.ru, -ni, ni.eru, ni.yasu",sha
俄,1,9,"sudden, abrupt, improvised",にわか,ガ,人,man,niwaka,ga
狙,2,8,"aim at, sight, shadow, stalk","ねら.う, ねら.い","ソ, ショ",犬,dog,"nera.u, nera.i","so, sho"
濃,2,16,"concentrated, thick, dark, undiluted",こ.い,ノウ,水,water,ko.i,nou
糊,1,15,"paste, glue, sizing",のり,"コ, ゴ, コツ",米,rice,nori,"ko, go, kotsu"
呑,1,7,drink,の.む,"トン, ドン",口,mouth,no.mu,"ton, don"
灰,3,6,"ashes, puckery juice, cremate",はい,カイ,火,fire,hai,kai
俳,2,10,"haiku, actor",None,ハイ,人,man,None,hai
這,1,10,"crawl, creep, grovel, trail (vines)","は.う, は.い, むか.える, この","シャ, ゲン",辵,walk,"ha.u, ha.i, muka.eru, kono","sha, gen"
秤,1,10,"balances, scales, steelyard",はかり,"ショウ, ヒン, ビン",禾,grain,hakari,"shou, hin, bin"
吐,2,6,"spit, vomit, belch, confess, tell (lies)","は.く, つ.く",ト,口,mouth,"ha.ku, tsu.ku",to
挟,2,9,"pinch, between","はさ.む, はさ.まる, わきばさ.む, さしはさ.む","キョウ, ショウ",手,hand,"hasa.mu, hasa.maru, wakibasa.mu, sashihasa.mu","kyou, shou"
梯,1,11,"ladder, stairs, insatiable drinking",はしご,"テイ, タイ",木,tree,hashigo,"tei, tai"
肌,2,6,"texture, skin, body, grain",はだ,キ,肉,meat,hada,ki
鉢,1,13,"bowl, rice tub, pot, crown",None,"ハチ, ハツ",金,metal,None,"hachi, hatsu"
揮,2,12,"brandish, wave, wag, swing, shake",ふる.う,キ,手,hand,furu.u,ki
嫁,2,13,"marry into, bride","よめ, とつ.ぐ, い.く, ゆ.く",カ,女,woman,"yome, totsu.gu, i.ku, yu.ku",ka
跳,1,13,"hop, leap up, spring, jerk, prance, buck, splash, sputter, snap","は.ねる, と.ぶ, -と.び",チョウ,足,foot,"ha.neru, to.bu, -to.bi",chou
磨,2,16,"grind, polish, scour, improve, brush (teeth)","みが.く, す.る",マ,石,stone,"miga.ku, su.ru",ma
払,6,5,"pay, clear out, prune, banish, dispose of","はら.う, -はら.い, -ばら.い","フツ, ヒツ, ホツ",手,hand,"hara.u, -hara.i, -bara.i","futsu, hitsu, hotsu"
歳,3,13,"year-end, age, occasion, opportunity","とし, とせ, よわい","サイ, セイ",止,stop,"toshi, tose, yowai","sai, sei"
較,2,13,"contrast, compare",くら.べる,"カク, コウ",車,cart,kura.beru,"kaku, kou"
陽,3,12,"sunshine, yang principle, positive, male, heaven, daytime",ひ,ヨウ,dam,mound,hi,you
肘,1,7,"elbow, arm",ひじ,チュウ,肉,meat,hiji,chuu
繰,3,19,"winding, reel, spin, turn (pages), look up, refer to",く.る,ソウ,糸,silk,ku.ru,sou
需,2,14,"demand, request, need",None,ジュ,雨,rain,None,ju
瞳,1,17,pupil (of eye),ひとみ,"ドウ, トウ",目,eye,hitomi,"dou, tou"
捻,1,11,"twirl, twist, play with","ね.じる, ねじ.る, ひね.くる, ひね.る","ネン, ジョウ",手,hand,"ne.jiru, neji.ru, hine.kuru, hine.ru","nen, jou"
膚,1,15,"skin, body, grain, texture, disposition",はだ,フ,肉,meat,hada,fu
百,3,6,hundred,もも,"ヒャク, ビャク",白,white,momo,"hyaku, byaku"
広,11,5,"wide, broad, spacious","ひろ.い, ひろ.まる, ひろ.める, ひろ.がる, ひろ.げる",コウ,广,house,"hiro.i, hiro.maru, hiro.meru, hiro.garu, hiro.geru",kou
箋,1,14,"paper, label, letter, composition",ふだ,セン,竹,bamboo,fuda,sen
瓶,3,11,"bottle, vial, jar, jug, vat, urn",かめ,"ビン, ヘイ",瓦,tile,kame,"bin, hei"
符,2,11,"token, sign, mark, tally, charm",None,フ,竹,bamboo,None,fu
妻,2,8,"wife, spouse",つま,サイ,女,woman,tsuma,sai
塞,2,13,"close, shut, cover, block, obstruct","ふさ.ぐ, とりで, み.ちる","ソク, サイ",土,earth,"fusa.gu, toride, mi.chiru","soku, sai"
襖,1,17,opaque sliding door,"ふすま, あお",オウ,衣,clothes,"fusuma, ao",ou
附,1,8,"affixed, attach, refer to, append","つ.ける, つ.く",フ,dam,mound,"tsu.keru, tsu.ku",fu
蓋,1,13,"cover, lid, flap","ふた, けだ.し, おお.う, かさ, かこう","ガイ, カイ, コウ",艸,grass,"futa, keda.shi, oo.u, kasa, kakou","gai, kai, kou"
麓,1,19,foot of a mountain,ふもと,ロク,鹿,deer,fumoto,roku
呂,2,7,"spine, backbone",せぼね,"ロ, リョ",口,mouth,sebone,"ro, ryo"
隊,3,12,"regiment, party, company, squad",None,タイ,dam,mound,None,tai
荘,1,9,"villa, inn, cottage, feudal manor, solemn, dignified","ほうき, おごそ.か","ソウ, ショウ, チャン",艸,grass,"houki, ogoso.ka","sou, shou, chan"
箒,1,14,broom,ほうき,"ソウ, シュウ",竹,bamboo,houki,"sou, shuu"
包,7,5,"wrap, pack up, cover, conceal","つつ.む, くる.む",ホウ,勹,wrap,"tsutsu.mu, kuru.mu",hou
盆,2,9,"basin, lantern festival, tray",None,ボン,皿,dish,None,bon
枚,2,8,"sheet of..., counter for flat thin objects or sheets",None,"マイ, バイ",木,tree,None,"mai, bai"
枕,1,8,pillow,まくら,"チン, シン",木,tree,makura,"chin, shin"
跨,1,13,"be, sit or stand astride, extend over, straddle","また.がる, またが.る, また.ぐ","コ, カ",足,foot,"mata.garu, mataga.ru, mata.gu","ko, ka"
窓,2,11,"window, pane","まど, てんまど, けむだし","ソウ, ス",穴,cave,"mado, tenmado, kemudashi","sou, su"
稀,1,12,"rare, phenomenal, dilute (acid)","まれ, まばら","キ, ケ",禾,grain,"mare, mabara","ki, ke"
岬,1,8,"headland, cape, spit, promontory",みさき,コウ,山,mountain,misaki,kou
